text1,text2
This church choir sings to the masses as they sing joyous songs from the book at a church.,The church is filled with song.
This church choir sings to the masses as they sing joyous songs from the book at a church.,A choir singing at a baseball game.
"A woman with a green headscarf, blue shirt and a very big grin.",The woman is very happy.
"A woman with a green headscarf, blue shirt and a very big grin.",The woman has been shot.
An old man with a package poses in front of an advertisement.,A man poses in front of an ad.
An old man with a package poses in front of an advertisement.,A man walks by an ad.
A statue at a museum that no seems to be looking at.,There is a statue that not many people seem to be interested in.
A statue at a museum that no seems to be looking at.,Tons of people are gathered around the statue.
A land rover is being driven across a river.,A Land Rover is splashing water as it crosses a river.
A land rover is being driven across a river.,A vehicle is crossing a river.
A land rover is being driven across a river.,A sedan is stuck in the middle of a river.
A man playing an electric guitar on stage.,A man playing banjo on the floor.
A man playing an electric guitar on stage.,A man playing guitar on stage.
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A doctor is looking at a book
A blond-haired doctor and her African american assistant looking threw new medical manuals.,A man is eating pb and j
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A boy runs into a wall
"One tan girl with a wool hat is running and leaning over an object, while another person in a wool hat is sitting on the ground.",A tan girl runs leans over an object
A young family enjoys feeling ocean waves lap at their feet.,A family is out at a restaurant.
A young family enjoys feeling ocean waves lap at their feet.,A family is at the beach.
A couple walk hand in hand down a street.,A couple is walking together.
A couple walk hand in hand down a street.,A couple is sitting on a bench.
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three people sit by a busy street bareheaded.
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people pose for a picture.
3 young man in hoods standing in the middle of a quiet street facing the camera.,Three hood wearing people stand in a street.
A man reads the paper in a bar with green lighting.,The man is inside.
A man reads the paper in a bar with green lighting.,The man is climbing a mountain.
Three firefighter come out of subway station.,Three firefighters coming up from a subway station.
Three firefighter come out of subway station.,Three firefighters playing cards inside a fire station.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is near a pile of coconuts.
"A person wearing a straw hat, standing outside working a steel apparatus with a pile of coconuts on the ground.",A person is burning a straw hat.
Male in a blue jacket decides to lay in the grass.,The guy in yellow is rolling on the grass
Male in a blue jacket decides to lay in the grass.,The guy wearing a blue jacket is laying on the green grass
During calf roping a cowboy calls off his horse.,A man ropes a calf successfully.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,A boy is on a playground.
A little boy in a gray and white striped sweater and tan pants is playing on a piece of playground equipment.,The boy is sitting on the school bus on his way home.
A woman wearing a ball cap squats down to touch the cracked earth.,A squatting woman wearing a hat touching the ground.
A woman wearing a ball cap squats down to touch the cracked earth.,A woman wearing a sun bonnet planting a garden.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are playing catch at a park.
Two children re laying on a rug with some wooden bricks laid out in a square between them.,Two children are on a rug.
A man standing in front of a building on the phone as two men to the side pain on the side.,a guy near a building stands by two other men
A man standing in front of a building on the phone as two men to the side pain on the side.,two girls walk through a hall
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Girls are playing outdoors.
"The two young girls are dressed as fairies, and are playing in the leaves outdoors.",Two girls play dress up indoors.
People jump over a mountain crevasse on a rope.,People are jumping outside.
People jump over a mountain crevasse on a rope.,People slide over a mountain crevasse on a slide.
A snowboarder on a wide plain of snow,A snow field with a snowboarder on it
An older women tending to a garden.,The lady is cooking dinner
An older women tending to a garden.,The lady has a garden
A man in a black shirt overlooking bike maintenance.,A man destroys a bike.
A man in a black shirt overlooking bike maintenance.,A man watches bike repairs.
A man in a black shirt is looking at a bike in a workshop.,A man is wearing a red shirt
A man in a black shirt is looking at a bike in a workshop.,A man is in a black shirt
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A person is in a garage.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man repairs bicycles.
A man looking over a bicycle's rear wheel in the maintenance garage with various tools visible in the background.,A man waits outside a garage.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",Some people stand around.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People run together.
"Three people sit on a bench at a station, the man looks oddly at the two women, the redheaded women looks up and forward in an awkward position, and the yellow blond girl twiddles with her hair.",People wait at a station.
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing behind a blond headed child
A child wearing a red top is standing behind a blond headed child sitting in a wheelbarrow.,A child wearing a red top is standing on top of a blond headed child
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A lady sitting on a bench in the park.
"A person dressed in a dress with flowers and a stuffed bee attached to it, is pushing a baby stroller down the street.",A person outside pushing a stroller.
A dog jumping for a Frisbee in the snow.,A cat washes his face and whiskers with his front paw.
A dog jumping for a Frisbee in the snow.,"An animal is outside in the cold weather, playing with a plastic toy."
People are conversing at a dining table under a canopy.,People are talking underneath a covering.
People are conversing at a dining table under a canopy.,People are screaming at a boxing match.
A girl playing a violin along with a group of people,A girl is washing a load of laundry.
A girl playing a violin along with a group of people,A girl is playing an instrument.
A woman within an orchestra is playing a violin.,A woman is playing the violin.
A woman within an orchestra is playing a violin.,A man is looking in a telescope.
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men look at the camera
"Three men, one holding pipes, another holding a large object above his head, and one resting against the pipe bed on the truck, are looking at the camera.",three men sleeping in a tent
A Ford car is making a right turn as 3 males are walking across the street behind the car.,A car making a right turn had three pedestrians cross behind it.
Three boys in white shirts are walking behind an older model Ford car.,there are three boys
Three boys in white shirts are walking behind an older model Ford car.,There are three girls
Three boys in white shirts are walking behind an older model Ford car.,The boys are on the street
Three girls blow out the candles of a cake made of Peeps.,Some people are blowing out candles
Three girls blow out the candles of a cake made of Peeps.,There are three girls and a cake
Three girls blow out the candles of a cake made of Peeps.,There are peeps in the garden.
A crowd of people looking up at 3 people on the edge of the roof of a building.,The crowd on the ground is watching 3 people on the roof's edge.
A crowd of people looking up at 3 people on the edge of the roof of a building.,Three people are climbing down the ladder on the building.
A woman working long hours.,A woman is working.
A woman working long hours.,A woman is sleeping.
Two teenage girls conversing next to lockers.,Girls talking next to the toilet.
Two teenage girls conversing next to lockers.,People talking next to lockers.
An old woman watches a man look down at some balls on the ground.,Two people are sleeping on the train.
"Two children, both wearing tan coats, are embracing one another.",Two kids are hugging.
"Two children, both wearing tan coats, are embracing one another.",Two kids are running down a highway.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two kids were hugging.
2 kids who look related are hanging out with 1 of them looking very emotional and hugging the other.,Two youths were pushing each other.
A large number of people wearing only white and red are walking on a street.,A large number of people wearing black walking down the street.
A large number of people wearing only white and red are walking on a street.,A large number of people walking on a street.
A guy riding a motorcycle near junk cars,A man is riding a motorcycle.
A guy riding a motorcycle near junk cars,A man is sitting on a parked motorcycle waiting for his friend.
"Women of India performing with blue streamers, in beautiful blue costumes.",indian women perform together in gorgeous costumes
"Women of India performing with blue streamers, in beautiful blue costumes.",dogs sniff the air
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,A person is swimming.
A professional swimmer spits water out after surfacing while grabbing the hand of someone helping him back to land.,The swimmer is eating a toasted marshmallow.
The man in the black wetsuit is walking out of the water.,a person is walking out of water.
The man in the black wetsuit is walking out of the water.,A man is laying on the beach.
Five girls and two guys are crossing a overpass.,The three men sit and talk about their lives.
Five girls and two guys are crossing a overpass.,There are people outside.